shippriority,customerclass,category,productline,warehouse,regionlookup,censusdivision,stateorprovince,orderdate,affiliate,discount,unitprice,shipcost,profit,qty,sales,orderyear
Two Day,School,furniture,Office Stuff,Central W05,Midwest,East North Central,Illinois,17-03-2009,Google,0.03,11.78,-3.8,-2.9575,2,7,2009
Two Day,School,furniture,Office Stuff,Central W05,Midwest,East North Central,Michigan,03-02-2010,Official Warz,0,134.99,-2.21,400.6508,13,1076,2010
Two Day,School,furniture,Office Stuff,Central W05,Midwest,East North Central,Michigan,11-06-2012,Yahoo,0.18,50.08,-1.37,-35.502,8,41,2012
Two Day,School,furniture,Office Stuff,Central W05,Midwest,East North Central,Ohio,20-03-2008,Yahoo,0.21,69.98,6.83,185.9712,13,503,2008
Two Day,School,furniture,Office Stuff,North East W03,Midwest,East North Central,Illinois,08-10-2012,Turbo Schoolz,0.2,19.13,-1.5,-3.366,5,21,2012
Two Day,School,furniture,Office Stuff,North East W03,Midwest,East North Central,Michigan,10-06-2012,Cheap Suppliez,0.2,54.38,2.21,-93.8322,12,86,2012
Two Day,School,furniture,Office Stuff,North East W03,Midwest,East North Central,Wisconsin,05-04-2010,Bing,0,46.98,5.68,171.1851,18,339,2010
Two Day,School,furniture,Office Stuff,South West W02,Midwest,East North Central,Illinois,22-05-2012,Cheap Suppliez,0.12,44.95,-0.02,18.3136,7,78,2012
Two Day,School,Ink,Printing Stuff,Central W05,Midwest,East North Central,Illinois,28-05-2012,Cheap Suppliez,0.2,56.73,0,-41.041,7,239,2012
Two Day,School,Ink,Printing Stuff,North East W03,Midwest,East North Central,Indiana,10-02-2010,Google,0.21,253.99,21.49,306.792,10,"1,859.00",2010
Two Day,School,Ink,Printing Stuff,North West W01,Midwest,West North Central,Minnesota,11-07-2009,Google,0.06,90.99,0.9,"1,008.31",29,"1,652.00",2009
Two Day,School,Ink,Printing Stuff,South West W02,Midwest,East North Central,Illinois,13-01-2014,Eco Storez,0.1,10.85,-1.73,-0.931,9,50,2014
Two Day,School,Ink,Printing Stuff,South West W02,Midwest,East North Central,Indiana,05-03-2010,Google,0.06,51.98,3.99,94.302,19,298,2010
Two Day,School,Ink,Printing Stuff,South West W02,Midwest,West North Central,Minnesota,17-09-2012,Google,0.18,68.99,0,-313.253,2,97,2012
Two Day,School,inkjet printer,Printing Stuff,Central W05,Midwest,East North Central,Illinois,07-11-2009,Yahoo,0,58.99,2.03,-23.902,4,34,2009
Two Day,School,inkjet printer,Printing Stuff,Central W05,Midwest,East North Central,Ohio,01-07-2008,Google,0.08,46.48,1.4,-10.469,1,14,2008
Two Day,School,inkjet printer,Printing Stuff,Central W05,Midwest,West North Central,Iowa,15-06-2011,Google,0.14,18.97,1.98,-33.0648,6,76,2011
Two Day,School,inkjet printer,Printing Stuff,North East W03,Midwest,East North Central,Illinois,15-12-2014,Supply Comparer,0.3,26.65,3.22,-71.748,17,163,2014
Two Day,School,inkjet printer,Printing Stuff,North East W03,Midwest,East North Central,Michigan,09-08-2012,Google,0.06,94.04,3.79,591.9396,19,937,2012
Two Day,School,inkjet printer,Printing Stuff,North East W03,Midwest,East North Central,Wisconsin,13-12-2009,Consumer Choice,0.06,63.99,4.71,347.6868,26,612,2009
Two Day,School,inkjet printer,Printing Stuff,North East W03,Midwest,West North Central,Missouri,07-03-2010,Google,0.04,31.55,-2.51,8.64,4,24,2010
Two Day,School,inkjet printer,Printing Stuff,South West W02,Midwest,East North Central,Illinois,09-11-2012,Eco Storez,0,32.6,3.19,-42.4215,52,524,2012
Two Day,School,inkjet printer,Printing Stuff,South West W02,Midwest,East North Central,Indiana,04-06-2012,Eco Storez,0.21,183.55,15.99,562.028,10,"1,526.00",2012
Two Day,School,inkjet printer,Printing Stuff,South West W02,Midwest,West North Central,Kansas,25-05-2013,Yahoo,0.18,147.99,5.99,658.1856,21,"2,148.00",2013
Two Day,School,label makers,Paper Stuff,Central W05,Midwest,East North Central,Illinois,18-02-2010,Bing,0,16.27,2.39,12.7934,6,54,2010
Two Day,School,label makers,Paper Stuff,North East W03,Midwest,East North Central,Illinois,05-04-2012,Supply Comparer,0.24,87.84,-1.01,-12.0508,1,72,2012
Two Day,School,label makers,Paper Stuff,North East W03,Midwest,East North Central,Illinois,08-10-2012,Bing,0.02,33.98,0.38,-54.226,3,22,2012
Two Day,School,label makers,Paper Stuff,South West W02,Midwest,East North Central,Illinois,04-04-2012,Yahoo,0.12,84.24,-3.01,226.7694,11,339,2012
Two Day,School,label makers,Paper Stuff,South West W02,Midwest,West North Central,Missouri,24-10-2012,Cheap Suppliez,0.06,67.99,10.37,-25.5983,3,49,2012
Two Day,School,laser printer,Printing Stuff,Central W05,Midwest,East North Central,Illinois,20-06-2012,Print Manic,0.27,347.98,8.99,"5,019.48",91,"25,199.00",2012
Two Day,School,laser printer,Printing Stuff,North East W03,Midwest,East North Central,Wisconsin,28-05-2008,Bing,0.14,54.69,-2.5,24.723,13,44,2008
Two Day,School,laser printer,Printing Stuff,South West W02,Midwest,East North Central,Indiana,10-01-2010,Bing,0.27,88.22,0.5,598.8192,18,921,2010
Two Day,School,markers,Writing Stuff,Central W05,Midwest,East North Central,Illinois,02-05-2012,Official Warz,0,68.99,2.31,364.2996,12,607,2012
Two Day,School,markers,Writing Stuff,South West W02,Midwest,East North Central,Illinois,03-01-2009,Yahoo,0.1,32.88,1.04,8.73,21,114,2009
Two Day,School,markers,Writing Stuff,South West W02,Midwest,East North Central,Illinois,16-03-2010,Consumer Choice,0.12,85.99,0.26,-10.9792,4,232,2010
Two Day,School,markers,Writing Stuff,South West W02,Midwest,West North Central,Kansas,09-04-2010,Google,0.18,54.5,-3.01,7.968,5,46,2010
Two Day,School,office mat,Office Stuff,Central W05,Midwest,East North Central,Illinois,23-02-2010,Supply Comparer,0.12,34.48,46,-356.858,4,43,2010
Two Day,School,office mat,Office Stuff,North East W03,Midwest,East North Central,Michigan,01-12-2009,Bing,0.27,79.76,6.22,222.4016,43,"1,340.00",2009
Two Day,School,office mat,Office Stuff,South East W04,Midwest,West North Central,North Dakota,07-06-2011,Bing,0.15,74.98,0,22.5596,11,247,2011
Two Day,School,office mat,Office Stuff,South West W02,Midwest,West North Central,Nebraska,23-09-2012,Cheap Suppliez,0,13.66,3.35,-65.5224,9,27,2012
Two Day,School,organizer,Office Stuff,Central W05,Midwest,East North Central,Indiana,09-04-2010,Google,0.1,67.28,4.13,1.2328,1,19,2010
Two Day,School,organizer,Office Stuff,Central W05,Midwest,West North Central,Iowa,07-10-2012,Google,0,176.98,11.99,15.9695,3,495,2012
Two Day,School,organizer,Office Stuff,South West W02,Midwest,East North Central,Wisconsin,12-03-2010,Bing,0.21,75.7,0.99,160.029,9,291,2010
Two Day,School,organizer,Office Stuff,South West W02,Midwest,West North Central,Iowa,13-10-2012,Eco Storez,0.12,23.08,-1.51,-5.8092,10,18,2012
Two Day,School,paper,Paper Stuff,Central W05,Midwest,East North Central,Illinois,01-07-2012,Google,0.1,84.65,10.99,767.7805,21,"1,510.00",2012
Two Day,School,paper,Paper Stuff,Central W05,Midwest,West North Central,Iowa,15-11-2012,Supply Comparer,0.24,86.04,5.23,302.88,12,526,2012
Two Day,School,paper,Paper Stuff,Central W05,Midwest,West North Central,Missouri,24-11-2009,Google,0.04,26.33,3.12,-13.068,3,39,2009
Two Day,School,paper,Paper Stuff,South East W04,Midwest,East North Central,Illinois,10-11-2012,Cheap Suppliez,0.12,77.99,17.99,23.031,6,278,2012
Two Day,School,paper,Paper Stuff,South West W02,Midwest,East North Central,Illinois,09-11-2012,Google,0.16,58.73,-2.48,15.5036,42,211,2012
Two Day,School,paper,Paper Stuff,South West W02,Midwest,West North Central,Missouri,22-11-2012,Cheap Suppliez,0.09,109.97,5.18,999.29,18,"1,806.00",2012
Two Day,School,pencils,Writing Stuff,Central W05,Midwest,East North Central,Illinois,09-01-2010,Yahoo,0.16,4.08,2.33,-127.7199,11,23,2010
Two Day,School,pencils,Writing Stuff,Central W05,Midwest,West North Central,Iowa,26-04-2011,Google,0.03,70.28,-0.01,-12.3354,2,36,2011
Two Day,School,pencils,Writing Stuff,Central W05,Midwest,West North Central,Iowa,02-06-2012,Supply Comparer,0,21.91,-1.5,7.0325,2,11,2012
Two Day,School,pencils,Writing Stuff,Central W05,Midwest,West North Central,Kansas,16-02-2013,Google,0.04,17.01,-0.13,66.1815,14,120,2013
Two Day,School,pencils,Writing Stuff,South East W04,Midwest,East North Central,Wisconsin,10-09-2008,Supply Comparer,0.16,25.98,3.15,-106.3641,6,36,2008
Two Day,School,pencils,Writing Stuff,South West W02,Midwest,West North Central,Kansas,18-03-2013,Print Manic,0.12,129.99,3.26,-275.0022,2,195,2013
Two Day,School,pens,Writing Stuff,Central W05,Midwest,East North Central,Illinois,26-09-2013,Eco Storez,0.06,50.68,-2.54,24.5992,8,53,2013
Two Day,School,pens,Writing Stuff,Central W05,Midwest,West North Central,Iowa,04-07-2012,Google,0.12,29.48,2.49,-183.8304,13,86,2012
Two Day,School,pens,Writing Stuff,North East W03,Midwest,East North Central,Illinois,22-04-2010,Google,0.18,63.54,9.72,135.1896,23,834,2010
Two Day,School,pens,Writing Stuff,North West W01,Midwest,East North Central,Wisconsin,21-03-2008,Google,0.2,46.86,-1.42,-27.1124,6,14,2008
Two Day,School,photo copier,Copying Stuff,South East W04,Midwest,East North Central,Illinois,24-11-2009,Bing,0.27,68.98,6.63,-15.962,1,47,2009
Two Day,School,photo copier,Copying Stuff,South East W04,Midwest,East North Central,Indiana,10-11-2009,Google,0.18,80.18,4.55,207.874,12,377,2009
Two Day,School,photo copier,Copying Stuff,South East W04,Midwest,East North Central,Michigan,25-10-2013,Google,0.2,59.99,1.86,214.0866,11,358,2013
Two Day,School,photo copier,Copying Stuff,South West W02,Midwest,East North Central,Illinois,05-03-2010,Google,0.04,22.84,4.37,-23.6418,2,20,2010
Two Day,School,photo copier,Copying Stuff,South West W02,Midwest,East North Central,Ohio,12-07-2014,Cheap Suppliez,0.3,35.95,0.01,2.538,2,19,2014
Two Day,School,photo copier,Copying Stuff,South West W02,Midwest,West North Central,Iowa,10-09-2012,Google,0.09,34.34,1,79.8407,9,141,2012
Two Day,School,photo paper,Copying Stuff,Central W05,Midwest,East North Central,Indiana,04-11-2009,Eco Storez,0.18,165.98,8.99,590.5344,19,"1,759.00",2009
Two Day,School,photo paper,Copying Stuff,South West W02,Midwest,East North Central,Illinois,04-09-2012,Eco Storez,0.12,37.84,11.87,-88.5248,12,329,2012
Two Day,School,scissors,Paper Stuff,Central W05,Midwest,East North Central,Illinois,19-12-2009,Google,0.18,54.48,3.88,103.9275,42,273,2009
Two Day,School,scissors,Paper Stuff,Central W05,Midwest,East North Central,Illinois,04-06-2012,Turbo Schoolz,0.03,99.99,2.26,331.1605,13,716,2012
Two Day,School,sharpner,Writing Stuff,Central W05,Midwest,East North Central,Ohio,06-05-2008,Google,0.24,200.98,15.99,"1,337.25",15,"2,279.00",2008
Two Day,School,sharpner,Writing Stuff,North West W01,Midwest,West North Central,Iowa,15-07-2011,Bing,0.03,43.48,3.19,-6.3535,5,43,2011
Two Day,School,sharpner,Writing Stuff,South West W02,Midwest,East North Central,Illinois,22-02-2009,Bing,0.09,56.47,32.2,-722.574,21,819,2009
Two Day,School,sharpner,Writing Stuff,South West W02,Midwest,East North Central,Michigan,16-10-2012,Cheap Suppliez,0,65.28,9.39,-59.2896,2,53,2012
Two Day,School,sharpner,Writing Stuff,South West W02,Midwest,East North Central,Ohio,24-04-2008,Bing,0.14,20.14,-1.3,-3.0624,12,11,2008
Two Day,School,shredders,Paper Stuff,North East W03,Midwest,East North Central,Illinois,07-03-2010,Turbo Schoolz,0,221.99,2.26,"1,231.94",12,"2,281.00",2010
Two Day,School,shredders,Paper Stuff,North East W03,Midwest,East North Central,Indiana,23-02-2010,Supply Comparer,0.18,37.01,4.4,1.5876,26,353,2010
Two Day,School,shredders,Paper Stuff,South West W02,Midwest,East North Central,Michigan,17-08-2013,Print Manic,0.1,79.24,-3.01,225.407,10,395,2013
Two Day,School,spirals,Copying Stuff,South West W02,Midwest,East North Central,Michigan,15-07-2012,Yahoo,0.1,108.71,34.58,-792.9504,17,"1,204.00",2012
Two Day,School,spirals,Copying Stuff,South West W02,Midwest,East North Central,Ohio,02-03-2008,Yahoo,0.3,53.67,-2.61,120.8662,15,198,2008
Two Day,School,staplers,Paper Stuff,Central W05,Midwest,West North Central,Missouri,11-12-2009,Google,0.02,23.67,-2.61,169.5474,18,290,2009
Two Day,School,staplers,Paper Stuff,North East W03,Midwest,East North Central,Indiana,18-04-2010,Print Manic,0.08,38.98,3.68,80.1108,14,245,2010
Two Day,School,staplers,Paper Stuff,South West W02,Midwest,East North Central,Illinois,14-02-2010,Bing,0.12,55.97,9.45,53.9028,2,99,2010
Two Day,School,staplers,Paper Stuff,South West W02,Midwest,East North Central,Illinois,07-04-2010,Supply Comparer,0.3,46.98,-0.01,-110.5026,1,43,2010
Two Day,School,staplers,Paper Stuff,South West W02,Midwest,East North Central,Michigan,17-09-2012,Google,0.12,43.68,1.91,-10.6996,1,9,2012
Two Day,School,staplers,Paper Stuff,South West W02,Midwest,West North Central,Minnesota,28-11-2012,Google,0.15,48.42,14.46,-38.931,7,232,2012
Two Day,School,staplers,Paper Stuff,South West W02,Midwest,West North Central,Missouri,23-04-2010,Consumer Choice,0.12,32.82,1.72,-30.7622,10,44,2010
Two Day,School,staplers,Paper Stuff,South West W02,Midwest,West North Central,Missouri,11-08-2012,Print Manic,0,17.48,5.86,-91.665,8,55,2012
Two Day,School,tape,Paper Stuff,Central W05,Midwest,East North Central,Ohio,08-11-2008,Eco Storez,0.18,60.57,11.36,27.3024,12,552,2008
Two Day,School,tape,Paper Stuff,Central W05,Midwest,East North Central,Ohio,27-06-2012,Official Warz,0.02,17.28,8.15,-126.549,28,197,2012
Two Day,School,tape,Paper Stuff,Central W05,Midwest,West North Central,Iowa,15-03-2011,Google,0.09,67.53,-2.51,129.523,7,233,2011
Two Day,School,toner,Printing Stuff,Central W05,Midwest,East North Central,Illinois,12-12-2009,Google,0.04,238.99,5.08,"2,418.23",24,"4,430.00",2009
Two Day,School,toner,Printing Stuff,Central W05,Midwest,East North Central,Illinois,28-01-2010,Eco Storez,0.15,39.38,10.1,-72.8748,14,333,2010
Two Day,School,toner,Printing Stuff,Central W05,Midwest,East North Central,Ohio,22-10-2008,Bing,0.16,142.81,19.49,1.0856,4,583,2008
Two Day,School,toner,Printing Stuff,North East W03,Midwest,East North Central,Illinois,02-04-2010,Yahoo,0.03,188.99,6.99,301.0368,5,710,2010
Two Day,School,toner,Printing Stuff,North East W03,Midwest,East North Central,Michigan,21-09-2013,Google,0.15,77.23,3.02,152.5268,7,286,2013
Two Day,Small Business,book shelf,Office Stuff,Central W05,Midwest,East North Central,Illinois,06-10-2011,Supply Comparer,0.03,25.68,-2.43,-49.6992,13,21,2011
Two Day,Small Business,book shelf,Office Stuff,Central W05,Midwest,East North Central,Ohio,20-10-2008,Turbo Schoolz,0.12,22.28,2.23,-5.396,10,72,2008
Two Day,Small Business,book shelf,Office Stuff,Central W05,Midwest,West North Central,Kansas,12-11-2014,Eco Storez,0.21,59.48,1.46,63.1098,12,185,2014
Two Day,Small Business,book shelf,Office Stuff,North East W03,Midwest,East North Central,Michigan,11-03-2013,Turbo Schoolz,0.02,50.48,3.14,-46.8648,86,639,2013
Two Day,Small Business,book shelf,Office Stuff,North East W03,Midwest,West North Central,Kansas,20-06-2009,Turbo Schoolz,0.04,104.37,67,-559.6478,9,523,2009
Two Day,Small Business,book shelf,Office Stuff,South East W04,Midwest,East North Central,Wisconsin,23-04-2008,Cheap Suppliez,0.24,50.78,-1.75,-7.893,7,21,2008
Two Day,Small Business,book shelf,Office Stuff,South West W02,Midwest,East North Central,Illinois,25-04-2011,Google,0.18,510.99,19.49,"1,184.88",13,"6,344.00",2011
Two Day,Small Business,book shelf,Office Stuff,South West W02,Midwest,East North Central,Indiana,17-11-2012,Supply Comparer,0.12,143.98,4.18,360.672,8,629,2012
Two Day,Small Business,book shelf,Office Stuff,South West W02,Midwest,West North Central,Minnesota,17-10-2011,Consumer Choice,0.15,9.54,0.27,-76.2432,15,90,2011
Two Day,Small Business,book shelf,Office Stuff,South West W02,Midwest,West North Central,Missouri,17-06-2012,Consumer Choice,0.14,27.88,-1.3,10.8768,17,54,2012
Two Day,Small Business,book shelf,Office Stuff,South West W02,Midwest,West North Central,Nebraska,16-01-2012,Google,0.08,77.99,0.5,-69.983,1,39,2012
Two Day,Small Business,chair,Office Stuff,Central W05,Midwest,East North Central,Illinois,15-01-2012,Turbo Schoolz,0.03,44.84,13.87,-41.5324,3,91,2012
Two Day,Small Business,chair,Office Stuff,Central W05,Midwest,East North Central,Illinois,12-05-2014,Bing,0.12,26.28,4.13,-6.897,1,20,2014
Two Day,Small Business,chair,Office Stuff,Central W05,Midwest,East North Central,Michigan,27-10-2011,Turbo Schoolz,0.24,175.49,49.94,-810.5823,15,"1,798.00",2011
Two Day,Small Business,chair,Office Stuff,Central W05,Midwest,East North Central,Michigan,09-06-2013,Turbo Schoolz,0,62.95,0,140.0318,18,358,2013
Two Day,Small Business,chair,Office Stuff,Central W05,Midwest,West North Central,Minnesota,09-08-2009,Consumer Choice,0.03,29.48,4.86,-42.313,4,34,2009
Two Day,Small Business,chair,Office Stuff,Central W05,Midwest,West North Central,Nebraska,26-11-2009,Supply Comparer,0.2,45.98,-3.51,145.3962,13,247,2009
Two Day,Small Business,chair,Office Stuff,North East W03,Midwest,East North Central,Illinois,03-08-2010,Eco Storez,0,47.48,-2.01,-17.461,1,20,2010
Two Day,Small Business,chair,Office Stuff,South East W04,Midwest,West North Central,Missouri,25-03-2013,Supply Comparer,0.06,43.98,-2.13,212.648,15,337,2013
Two Day,Small Business,chair,Office Stuff,South West W02,Midwest,West North Central,Kansas,06-11-2013,Cheap Suppliez,0,27.4,3.78,-39.6096,4,29,2013
Two Day,Small Business,desk,Office Stuff,Central W05,Midwest,East North Central,Illinois,21-12-2013,Consumer Choice,0.04,20.93,-3.01,33.3098,14,53,2013
Two Day,Small Business,desk,Office Stuff,Central W05,Midwest,East North Central,Michigan,28-09-2009,Google,0.16,95.98,2.33,2.208,10,358,2009
Two Day,Small Business,desk,Office Stuff,Central W05,Midwest,West North Central,Minnesota,03-02-2011,Google,0.34,43.89,8.56,-9.0387,1,29,2011
Two Day,Small Business,desk,Office Stuff,North East W03,Midwest,West North Central,Missouri,27-05-2010,Google,0.24,68.98,4.88,174.5884,22,"1,316.00",2010
Two Day,Small Business,desk,Office Stuff,South West W02,Midwest,East North Central,Illinois,17-11-2010,Google,0.15,52.98,0.77,124.353,12,234,2010
Two Day,Small Business,desk,Office Stuff,South West W02,Midwest,East North Central,Illinois,11-07-2012,Bing,0.18,55.28,2.41,-31.7097,16,98,2012
Two Day,Small Business,desk,Office Stuff,South West W02,Midwest,East North Central,Illinois,16-12-2013,Supply Comparer,0.3,103.98,31,-557.5722,5,431,2013
Two Day,Small Business,desk,Office Stuff,South West W02,Midwest,East North Central,Indiana,19-03-2011,Google,0.06,49.98,1.2,-48.393,8,57,2011
Two Day,Small Business,desk,Office Stuff,South West W02,Midwest,West North Central,Minnesota,28-04-2010,Bing,0.12,121.97,2.18,192.3798,4,447,2010
Two Day,Small Business,desk,Office Stuff,South West W02,Midwest,West North Central,Missouri,06-05-2008,Google,0.16,47.98,16.99,-237.2911,11,397,2008
Two Day,Small Business,file holder,Paper Stuff,Central W05,Midwest,East North Central,Illinois,02-01-2011,Cheap Suppliez,0.08,19.65,2.22,-48.7942,13,131,2011
Two Day,Small Business,file holder,Paper Stuff,Central W05,Midwest,East North Central,Illinois,09-11-2013,Bing,0.15,212.1,10.99,"5,390.94",48,"10,131.00",2013
Two Day,Small Business,file holder,Paper Stuff,Central W05,Midwest,East North Central,Michigan,23-08-2009,Turbo Schoolz,0.12,63.99,1.99,7.6046,17,643,2009
Two Day,Small Business,file holder,Paper Stuff,Central W05,Midwest,West North Central,Minnesota,06-01-2014,Turbo Schoolz,0.24,53.7,0.68,6.5247,7,57,2014
Two Day,Small Business,file holder,Paper Stuff,North East W03,Midwest,East North Central,Michigan,10-09-2011,Print Manic,0,49.98,4.51,5.2155,8,191,2011
Two Day,Small Business,file holder,Paper Stuff,North West W01,Midwest,East North Central,Indiana,12-06-2013,Print Manic,0.3,21.48,1.9,-48.0159,22,130,2013
Two Day,Small Business,file holder,Paper Stuff,South West W02,Midwest,East North Central,Indiana,13-09-2012,Yahoo,0.15,45.68,-3.61,138.7288,39,224,2012
Two Day,Small Business,file holder,Paper Stuff,South West W02,Midwest,East North Central,Michigan,21-06-2013,Turbo Schoolz,0.16,101.94,1.77,809.844,143,"7,090.00",2013
Two Day,Small Business,file holder,Paper Stuff,South West W02,Midwest,East North Central,Ohio,16-03-2008,Yahoo,0,39.98,5.83,48.8334,5,125,2008
Two Day,Small Business,file holder,Paper Stuff,South West W02,Midwest,West North Central,Missouri,21-04-2008,Supply Comparer,0.18,199.55,14.99,-6.9736,3,529,2008
Two Day,Small Business,furniture,Office Stuff,Central W05,Midwest,East North Central,Illinois,25-01-2009,Cheap Suppliez,0.08,92.19,-0.01,249.6586,10,480,2009
Two Day,Small Business,furniture,Office Stuff,Central W05,Midwest,East North Central,Illinois,22-02-2010,Google,0.16,34.08,-3.83,41.2533,30,156,2010
Two Day,Small Business,furniture,Office Stuff,Central W05,Midwest,East North Central,Illinois,01-08-2012,Turbo Schoolz,0.08,13.97,1.98,-12.9654,13,163,2012
Two Day,Small Business,furniture,Office Stuff,Central W05,Midwest,East North Central,Indiana,16-05-2010,Yahoo,0.06,92.28,15.99,445.816,14,936,2010
Two Day,Small Business,furniture,Office Stuff,Central W05,Midwest,East North Central,Indiana,10-04-2011,Google,0,156.99,5.08,152.9568,8,944,2011
Two Day,Small Business,furniture,Office Stuff,Central W05,Midwest,East North Central,Indiana,19-07-2012,Google,0.14,40.84,-2.29,22.716,8,43,2012
Two Day,Small Business,furniture,Office Stuff,Central W05,Midwest,East North Central,Michigan,22-09-2010,Bing,0.3,33.89,-0.5,-21.7527,5,59,2010
Two Day,Small Business,furniture,Office Stuff,Central W05,Midwest,East North Central,Ohio,22-11-2008,Google,0.14,335.97,4.18,-726.831,2,605,2008
Two Day,Small Business,furniture,Office Stuff,Central W05,Midwest,West North Central,Kansas,01-05-2010,Google,0,20.4,-1.29,5.593,2,19,2010
Two Day,Small Business,furniture,Office Stuff,North East W03,Midwest,East North Central,Illinois,10-01-2014,Google,0.24,47.02,0.14,-54.9976,3,18,2014
Two Day,Small Business,furniture,Office Stuff,North East W03,Midwest,West North Central,Minnesota,19-08-2009,Print Manic,0.15,30.28,0.2,-34.0676,4,15,2009
Two Day,Small Business,furniture,Office Stuff,South West W02,Midwest,West North Central,Minnesota,23-01-2010,Bing,0.1,97.41,-0.01,973.09,37,"1,620.00",2010
Two Day,Small Business,Ink,Printing Stuff,Central W05,Midwest,East North Central,Ohio,28-05-2012,Google,0.02,51,-1.7,21.294,9,36,2012
Two Day,Small Business,Ink,Printing Stuff,Central W05,Midwest,West North Central,Missouri,03-04-2012,Consumer Choice,0.08,9.24,3.22,-25.0614,4,28,2012
Two Day,Small Business,Ink,Printing Stuff,South West W02,Midwest,East North Central,Illinois,16-12-2011,Eco Storez,0.03,57.38,0.86,263.91,17,419,2011
Two Day,Small Business,Ink,Printing Stuff,South West W02,Midwest,East North Central,Illinois,25-12-2013,Google,0.06,34.74,1.08,-34.7727,5,12,2013
Two Day,Small Business,Ink,Printing Stuff,South West W02,Midwest,East North Central,Illinois,08-01-2014,Bing,0.03,61.97,10.45,69.129,13,494,2014
Two Day,Small Business,Ink,Printing Stuff,South West W02,Midwest,East North Central,Michigan,21-06-2010,Yahoo,0,16.44,2.27,-14.6976,11,151,2010
Two Day,Small Business,Ink,Printing Stuff,South West W02,Midwest,East North Central,Michigan,21-02-2013,Google,0.12,119.99,-3.01,-159.4138,22,"1,498.00",2013
Two Day,Small Business,Ink,Printing Stuff,South West W02,Midwest,West North Central,Missouri,16-10-2011,Consumer Choice,0.14,90.52,45.2,215.4334,40,"3,001.00",2011
Two Day,Small Business,inkjet printer,Printing Stuff,Central W05,Midwest,East North Central,Illinois,28-12-2013,Cheap Suppliez,0.12,113.99,-0.1,394.1756,19,938,2013
Two Day,Small Business,inkjet printer,Printing Stuff,Central W05,Midwest,East North Central,Ohio,27-04-2012,Print Manic,0.12,49.26,-4.3,-17.1666,12,13,2012
Two Day,Small Business,inkjet printer,Printing Stuff,Central W05,Midwest,West North Central,Kansas,19-02-2009,Turbo Schoolz,0,198.55,17.99,"1,085.46",22,"3,513.00",2009
Two Day,Small Business,inkjet printer,Printing Stuff,Central W05,Midwest,West North Central,Missouri,24-02-2012,Supply Comparer,0.09,77.24,-3.01,77.5775,6,140,2012
Two Day,Small Business,inkjet printer,Printing Stuff,North East W03,Midwest,East North Central,Illinois,07-03-2012,Yahoo,0.2,8.48,3.03,-85.7538,13,91,2012
Two Day,Small Business,inkjet printer,Printing Stuff,North West W01,Midwest,West North Central,Missouri,16-07-2009,Google,0.14,95.99,-2.75,542.9898,24,"1,104.00",2009
Two Day,Small Business,inkjet printer,Printing Stuff,South West W02,Midwest,East North Central,Illinois,04-05-2010,Google,0.2,60.99,1.03,-156.1215,24,153,2010
Two Day,Small Business,inkjet printer,Printing Stuff,South West W02,Midwest,East North Central,Illinois,14-11-2013,Consumer Choice,0.12,45.14,-2.73,-3.492,1,13,2013
Two Day,Small Business,inkjet printer,Printing Stuff,South West W02,Midwest,East North Central,Michigan,03-07-2013,Google,0.18,90.99,-1.5,-224.5518,37,"1,655.00",2013
Two Day,Small Business,inkjet printer,Printing Stuff,South West W02,Midwest,East North Central,Ohio,13-05-2012,Google,0,451.19,16.99,"3,176.56",13,"5,467.00",2012
Two Day,Small Business,label makers,Paper Stuff,Central W05,Midwest,East North Central,Illinois,26-03-2014,Supply Comparer,0.03,59.75,0.99,50.1032,13,94,2014
Two Day,Small Business,label makers,Paper Stuff,Central W05,Midwest,East North Central,Illinois,09-04-2014,Bing,0.15,24.99,-4.01,217.4265,20,338,2014
Two Day,Small Business,label makers,Paper Stuff,Central W05,Midwest,East North Central,Wisconsin,20-09-2008,Google,0.06,19.34,-1.04,91.8004,16,156,2008
Two Day,Small Business,label makers,Paper Stuff,Central W05,Midwest,West North Central,Kansas,20-06-2009,Google,0.14,56.13,0.04,-72.599,22,85,2009
Two Day,Small Business,label makers,Paper Stuff,Central W05,Midwest,West North Central,Missouri,28-07-2008,Eco Storez,0.12,44.67,1.5,2.898,42,332,2008
Two Day,Small Business,label makers,Paper Stuff,North East W03,Midwest,East North Central,Illinois,02-10-2010,Google,0.02,22.98,-0.14,-4.1128,1,8,2010
Two Day,Small Business,label makers,Paper Stuff,North East W03,Midwest,East North Central,Illinois,06-03-2011,Bing,0.12,17.99,10.18,-108.3628,9,140,2011
Two Day,Small Business,label makers,Paper Stuff,North East W03,Midwest,West North Central,Iowa,05-01-2014,Yahoo,0.21,15.48,4.68,-42.63,2,18,2014
Two Day,Small Business,label makers,Paper Stuff,South West W02,Midwest,East North Central,Michigan,03-01-2010,Yahoo,0.06,109.37,66,-595.3688,37,"2,389.00",2010
Two Day,Small Business,label makers,Paper Stuff,South West W02,Midwest,East North Central,Michigan,08-04-2013,Cheap Suppliez,0.04,57.23,1.68,-23.2655,35,384,2013
Two Day,Small Business,label makers,Paper Stuff,South West W02,Midwest,West North Central,Minnesota,01-03-2010,Consumer Choice,0.24,909.99,14.99,176.8312,1,936,2010
